city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Kolkata,2015-05-07,Kolkata Knight Riders,499.0,PP Chawla,1,2015,bat,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
Chennai,2015-05-08,Chennai Super Kings,500.0,HH Pandya,1,2015,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Mumbai Indians
Kolkata,2015-05-09,Kolkata Knight Riders,501.0,AD Russell,1,2015,bat,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Raipur,2015-05-09,Delhi Daredevils,502.0,MC Henriques,1,2015,bat,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai,2015-05-10,Mumbai Indians,503.0,AB de Villiers,1,2015,bat,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai,2015-05-10,Chennai Super Kings,504.0,RA Jadeja,1,2015,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Hyderabad,2015-05-11,Sunrisers Hyderabad,505.0,DA Warner,1,2015,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
Raipur,2015-05-12,Delhi Daredevils,506.0,Z Khan,1,2015,bat,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,Delhi Daredevils
Chandigarh,2015-05-13,Kings XI Punjab,507.0,AR Patel,1,2015,field,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab
Mumbai,2015-05-14,Mumbai Indians,508.0,HH Pandya,1,2015,field,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Hyderabad,2015-05-15,Sunrisers Hyderabad,509.0,V Kohli,1,2015,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Royal Challengers Bangalore
Chandigarh,2015-05-16,Kings XI Punjab,510.0,P Negi,1,2015,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Chennai Super Kings
Mumbai,2015-05-16,Rajasthan Royals,511.0,SR Watson,1,2015,bat,Rajasthan Royals,Brabourne Stadium,Kolkata Knight Riders,Rajasthan Royals
Bangalore,2015-05-17,Royal Challengers Bangalore,512.0,,0,2015,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,no result
Hyderabad,2015-05-17,Sunrisers Hyderabad,513.0,MJ McClenaghan,1,2015,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Mumbai Indians
Mumbai,2015-05-19,Chennai Super Kings,514.0,KA Pollard,1,2015,bat,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Mumbai Indians
Pune,2015-05-20,Royal Challengers Bangalore,515.0,AB de Villiers,1,2015,bat,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rajasthan Royals,Royal Challengers Bangalore
Ranchi,2015-05-22,Chennai Super Kings,516.0,A Nehra,1,2015,field,Chennai Super Kings,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings
Kolkata,2015-05-24,Mumbai Indians,517.0,RG Sharma,1,2015,field,Chennai Super Kings,Eden Gardens,Chennai Super Kings,Mumbai Indians
Mumbai,2016-04-09,Mumbai Indians,518.0,AM Rahane,1,2016,bat,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiants,Rising Pune Supergiants
Kolkata,2016-04-10,Kolkata Knight Riders,519.0,AD Russell,1,2016,field,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
Chandigarh,2016-04-11,Kings XI Punjab,520.0,AJ Finch,1,2016,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Gujarat Lions
Bangalore,2016-04-12,Royal Challengers Bangalore,521.0,AB de Villiers,1,2016,field,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
Kolkata,2016-04-13,Kolkata Knight Riders,522.0,RG Sharma,1,2016,field,Mumbai Indians,Eden Gardens,Mumbai Indians,Mumbai Indians
Rajkot,2016-04-14,Gujarat Lions,523.0,AJ Finch,1,2016,bat,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions
Delhi,2016-04-15,Delhi Daredevils,524.0,A Mishra,1,2016,field,Delhi Daredevils,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
Hyderabad,2016-04-16,Sunrisers Hyderabad,525.0,G Gambhir,1,2016,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2016-04-16,Mumbai Indians,526.0,AJ Finch,1,2016,field,Gujarat Lions,Wankhede Stadium,Gujarat Lions,Gujarat Lions
Chandigarh,2016-04-17,Kings XI Punjab,527.0,M Vohra,1,2016,bat,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,Kings XI Punjab
Bangalore,2016-04-17,Royal Challengers Bangalore,528.0,Q de Kock,1,2016,field,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Delhi Daredevils
Hyderabad,2016-04-18,Sunrisers Hyderabad,529.0,DA Warner,1,2016,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
Chandigarh,2016-04-19,Kings XI Punjab,530.0,RV Uthappa,1,2016,field,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2016-04-20,Mumbai Indians,531.0,RG Sharma,1,2016,field,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
Rajkot,2016-04-21,Gujarat Lions,532.0,B Kumar,1,2016,field,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Pune,2016-04-22,Rising Pune Supergiants,533.0,AB de Villiers,1,2016,field,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi,2016-04-23,Delhi Daredevils,534.0,SV Samson,1,2016,field,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
Hyderabad,2016-04-23,Sunrisers Hyderabad,535.0,Mustafizur Rahman,1,2016,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
Rajkot,2016-04-24,Gujarat Lions,536.0,V Kohli,1,2016,bat,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions
Pune,2016-04-24,Rising Pune Supergiants,537.0,SA Yadav,1,2016,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Chandigarh,2016-04-25,Kings XI Punjab,538.0,PA Patel,1,2016,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Mumbai Indians
Hyderabad,2016-04-26,Sunrisers Hyderabad,539.0,AB Dinda,1,2016,field,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants,Rising Pune Supergiants
Delhi,2016-04-27,Delhi Daredevils,540.0,CH Morris,1,2016,field,Delhi Daredevils,Feroz Shah Kotla,Gujarat Lions,Gujarat Lions
Mumbai,2016-04-28,Mumbai Indians,541.0,RG Sharma,1,2016,field,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Pune,2016-04-29,Rising Pune Supergiants,542.0,DR Smith,1,2016,field,Gujarat Lions,Maharashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions
Delhi,2016-04-30,Delhi Daredevils,543.0,CR Brathwaite,1,2016,field,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Daredevils
Hyderabad,2016-04-30,Sunrisers Hyderabad,544.0,DA Warner,1,2016,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
Rajkot,2016-05-01,Gujarat Lions,545.0,AR Patel,1,2016,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Kings XI Punjab,Kings XI Punjab
Pune,2016-05-01,Rising Pune Supergiants,546.0,RG Sharma,1,2016,field,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians
Bangalore,2016-05-02,Royal Challengers Bangalore,547.0,AD Russell,1,2016,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Rajkot,2016-05-03,Gujarat Lions,548.0,RR Pant,1,2016,field,Delhi Daredevils,Saurashtra Cricket Association Stadium,Delhi Daredevils,Delhi Daredevils
Kolkata,2016-05-04,Kolkata Knight Riders,549.0,AD Russell,1,2016,field,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Delhi,2016-05-05,Delhi Daredevils,550.0,AM Rahane,1,2016,field,Rising Pune Supergiants,Feroz Shah Kotla,Rising Pune Supergiants,Rising Pune Supergiants
Hyderabad,2016-05-06,Sunrisers Hyderabad,551.0,B Kumar,1,2016,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Bangalore,2016-05-07,Royal Challengers Bangalore,552.0,V Kohli,1,2016,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rising Pune Supergiants,Royal Challengers Bangalore
Chandigarh,2016-05-07,Kings XI Punjab,553.0,MP Stoinis,1,2016,field,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
Visakhapatnam,2016-05-08,Mumbai Indians,554.0,A Nehra,1,2016,field,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata,2016-05-08,Kolkata Knight Riders,555.0,P Kumar,1,2016,field,Gujarat Lions,Eden Gardens,Gujarat Lions,Gujarat Lions
Chandigarh,2016-05-09,Kings XI Punjab,556.0,SR Watson,1,2016,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,Royal Challengers Bangalore
Visakhapatnam,2016-05-10,Rising Pune Supergiants,557.0,A Zampa,1,2016,bat,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Bangalore,2016-05-11,Royal Challengers Bangalore,558.0,KH Pandya,1,2016,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Hyderabad,2016-05-12,Sunrisers Hyderabad,559.0,CH Morris,1,2016,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Delhi Daredevils
Visakhapatnam,2016-05-13,Mumbai Indians,560.0,MP Stoinis,1,2016,bat,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,Kings XI Punjab
Bangalore,2016-05-14,Royal Challengers Bangalore,561.0,AB de Villiers,1,2016,field,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bangalore
Kolkata,2016-05-14,Kolkata Knight Riders,562.0,YK Pathan,1,2016,bat,Rising Pune Supergiants,Eden Gardens,Rising Pune Supergiants,Kolkata Knight Riders
Chandigarh,2016-05-15,Kings XI Punjab,563.0,HM Amla,1,2016,bat,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Sunrisers Hyderabad
Visakhapatnam,2016-05-15,Mumbai Indians,564.0,KH Pandya,1,2016,field,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Mumbai Indians
Kolkata,2016-05-16,Kolkata Knight Riders,565.0,V Kohli,1,2016,field,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,Royal Challengers Bangalore
Visakhapatnam,2016-05-17,Rising Pune Supergiants,566.0,AB Dinda,1,2016,field,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Rising Pune Supergiants
Bangalore,2016-05-18,Royal Challengers Bangalore,567.0,V Kohli,1,2016,field,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
Kanpur,2016-05-19,Gujarat Lions,568.0,DR Smith,1,2016,field,Gujarat Lions,Green Park,Kolkata Knight Riders,Gujarat Lions
Raipur,2016-05-20,Delhi Daredevils,569.0,KK Nair,1,2016,field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,Delhi Daredevils
Visakhapatnam,2016-05-21,Rising Pune Supergiants,570.0,MS Dhoni,1,2016,bat,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,Rising Pune Supergiants
Kanpur,2016-05-21,Gujarat Lions,571.0,SK Raina,1,2016,field,Gujarat Lions,Green Park,Mumbai Indians,Gujarat Lions
Kolkata,2016-05-22,Kolkata Knight Riders,572.0,YK Pathan,1,2016,field,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Raipur,2016-05-22,Delhi Daredevils,573.0,V Kohli,1,2016,field,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Bangalore,2016-05-24,Gujarat Lions,574.0,AB de Villiers,1,2016,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi,2016-05-25,Sunrisers Hyderabad,575.0,MC Henriques,1,2016,field,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,Sunrisers Hyderabad
Delhi,2016-05-27,Gujarat Lions,576.0,DA Warner,1,2016,field,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,Sunrisers Hyderabad
Bangalore,2016-05-29,Royal Challengers Bangalore,577.0,BCJ Cutting,1,2016,bat,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Hyderabad,2017-04-05,Sunrisers Hyderabad,578.0,Yuvraj Singh,1,2017,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
Pune,2017-04-06,Rising Pune Supergiant,579.0,SPD Smith,1,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
Rajkot,2017-04-07,Gujarat Lions,580.0,CA Lynn,1,2017,field,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Bengaluru,2017-04-08 00:00:00,Royal Challengers Bangalore,581.0,KM Jadhav,1,2017,bat,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
Indore,2017-04-08,Kings XI Punjab,582.0,GJ Maxwell,1,2017,field,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
Hyderabad,2017-04-09,Sunrisers Hyderabad,583.0,Rashid Khan,1,2017,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Mumbai,2017-04-09,Mumbai Indians,584.0,N Rana,1,2017,field,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Indore,2017-04-10,Kings XI Punjab,585.0,AR Patel,1,2017,bat,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
Pune,2017-04-11,Rising Pune Supergiant,586.0,SV Samson,1,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Delhi Daredevils
Mumbai,2017-04-12,Mumbai Indians,587.0,JJ Bumrah,1,2017,field,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Kolkata,2017-04-13,Kolkata Knight Riders,588.0,SP Narine,1,2017,field,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Bangalore,2017-04-14,Royal Challengers Bangalore,589.0,KA Pollard,1,2017,field,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Rajkot,2017-04-14,Gujarat Lions,590.0,AJ Tye,1,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions
Kolkata,2017-04-15,Kolkata Knight Riders,591.0,RV Uthappa,1,2017,field,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Delhi,2017-04-15,Delhi Daredevils,592.0,CJ Anderson,1,2017,bat,Delhi Daredevils,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
Mumbai,2017-04-16,Mumbai Indians,593.0,N Rana,1,2017,field,Mumbai Indians,Wankhede Stadium,Gujarat Lions,Mumbai Indians
Bangalore,2017-04-16,Royal Challengers Bangalore,594.0,BA Stokes,1,2017,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rising Pune Supergiant,Rising Pune Supergiant
Delhi,2017-04-17,Delhi Daredevils,595.0,NM Coulter-Nile,1,2017,bat,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Kolkata Knight Riders
Hyderabad,2017-04-17,Sunrisers Hyderabad,596.0,B Kumar,1,2017,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
Rajkot,2017-04-18,Gujarat Lions,597.0,CH Gayle,1,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Hyderabad,2017-04-19,Sunrisers Hyderabad,598.0,KS Williamson,1,2017,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad
Indore,2017-04-20,Kings XI Punjab,599.0,JC Buttler,1,2017,field,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,Mumbai Indians
Kolkata,2017-04-21,Kolkata Knight Riders,600.0,SK Raina,1,2017,field,Gujarat Lions,Eden Gardens,Gujarat Lions,Gujarat Lions
Mumbai,2017-04-22,Mumbai Indians,601.0,MJ McClenaghan,1,2017,field,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
Pune,2017-04-22,Rising Pune Supergiant,602.0,MS Dhoni,1,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant
Rajkot,2017-04-23,Gujarat Lions,603.0,HM Amla,1,2017,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Kings XI Punjab,Kings XI Punjab
Kolkata,2017-04-23,Kolkata Knight Riders,604.0,NM Coulter-Nile,1,2017,field,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders
Mumbai,2017-04-24,Mumbai Indians,605.0,BA Stokes,1,2017,field,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,Rising Pune Supergiant
Pune,2017-04-26,Rising Pune Supergiant,606.0,RV Uthappa,1,2017,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Bangalore,2017-04-27,Royal Challengers Bangalore,607.0,AJ Tye,1,2017,field,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,Gujarat Lions
Kolkata,2017-04-28,Kolkata Knight Riders,608.0,G Gambhir,1,2017,field,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
Chandigarh,2017-04-28,Kings XI Punjab,609.0,Rashid Khan,1,2017,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Sunrisers Hyderabad
Pune,2017-04-29,Rising Pune Supergiant,610.0,LH Ferguson,1,2017,field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rising Pune Supergiant
Rajkot,2017-04-29,Gujarat Lions,611.0,KH Pandya,2,2017,bat,Gujarat Lions,Saurashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians
Chandigarh,2017-04-30,Kings XI Punjab,612.0,Sandeep Sharma,1,2017,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
Hyderabad,2017-04-30,Sunrisers Hyderabad,613.0,DA Warner,1,2017,field,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad
Mumbai,2017-05-01,Mumbai Indians,614.0,RG Sharma,1,2017,bat,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
Pune,2017-05-01,Rising Pune Supergiant,615.0,BA Stokes,1,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant
Delhi,2017-05-02,Delhi Daredevils,616.0,Mohammed Shami,1,2017,field,Delhi Daredevils,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils
Kolkata,2017-05-03,Kolkata Knight Riders,617.0,RA Tripathi,1,2017,field,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant,Rising Pune Supergiant
Delhi,2017-05-04,Delhi Daredevils,618.0,RR Pant,1,2017,field,Delhi Daredevils,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils
Bangalore,2017-05-05,Royal Challengers Bangalore,619.0,Sandeep Sharma,1,2017,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,Kings XI Punjab
Hyderabad,2017-05-06,Sunrisers Hyderabad,620.0,JD Unadkat,1,2017,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Rising Pune Supergiant
Delhi,2017-05-06,Delhi Daredevils,621.0,LMP Simmons,1,2017,field,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Mumbai Indians
Bangalore,2017-05-07,Royal Challengers Bangalore,622.0,SP Narine,1,2017,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Chandigarh,2017-05-07,Kings XI Punjab,623.0,DR Smith,1,2017,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Gujarat Lions
Hyderabad,2017-05-08,Sunrisers Hyderabad,624.0,S Dhawan,1,2017,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
Chandigarh,2017-05-09,Kings XI Punjab,625.0,MM Sharma,1,2017,field,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab
Kanpur,2017-05-10,Gujarat Lions,626.0,SS Iyer,1,2017,field,Delhi Daredevils,Green Park,Delhi Daredevils,Delhi Daredevils
Mumbai,2017-05-11,Mumbai Indians,627.0,WP Saha,1,2017,field,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Kings XI Punjab
Delhi,2017-05-12,Delhi Daredevils,628.0,KK Nair,1,2017,bat,Delhi Daredevils,Feroz Shah Kotla,Rising Pune Supergiant,Delhi Daredevils
Kanpur,2017-05-13,Gujarat Lions,629.0,Mohammed Siraj,1,2017,field,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata,2017-05-13,Kolkata Knight Riders,630.0,AT Rayudu,1,2017,field,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,Mumbai Indians
Pune,2017-05-14,Rising Pune Supergiant,631.0,JD Unadkat,1,2017,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Kings XI Punjab,Rising Pune Supergiant
Delhi,2017-05-14,Delhi Daredevils,632.0,HV Patel,1,2017,bat,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai,2017-05-16,Mumbai Indians,633.0,Washington Sundar,1,2017,field,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,Rising Pune Supergiant
Bangalore,2017-05-17,Sunrisers Hyderabad,634.0,NM Coulter-Nile,1,2017,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Bangalore,2017-05-19,Mumbai Indians,635.0,KV Sharma,1,2017,field,Mumbai Indians,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians
Hyderabad,2017-05-21,Mumbai Indians,636.0,KH Pandya,1,2017,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Mumbai Indians
Chennai,2019-03-23 00:00:00,Chennai Super Kings,637.0,Harbhajan Singh,1,2019,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Kolkata,2019-03-24 00:00:00,Kolkata Knight Riders,638.0,AD Russell,1,2019,field,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Mumbai,2019-03-24 00:00:00,Mumbai Indians,639.0,RR Pant,1,2019,field,Mumbai Indians,Wankhede Stadium,Delhi Capitals,Delhi Capitals
Jaipur,2019-03-25 00:00:00,Rajasthan Royals,640.0,CH Gayle,1,2019,field,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,Kings XI Punjab
Delhi,2019-03-26 00:00:00,Delhi Capitals,641.0,SR Watson,1,2019,bat,Delhi Capitals,Feroz Shah Kotla,Chennai Super Kings,Chennai Super Kings
Kolkata,2019-03-27 00:00:00,Kolkata Knight Riders,642.0,AD Russell,1,2019,field,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Bengaluru,2019-03-28 00:00:00,Royal Challengers Bangalore,643.0,JJ Bumrah,1,2019,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Hyderabad,2019-03-29 00:00:00,Sunrisers Hyderabad,644.0,Rashid Khan,1,2019,bat,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad
Chandigarh,2019-03-30 00:00:00,Kings XI Punjab,645.0,MA Agarwal,1,2019,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Kings XI Punjab
Delhi,2019-03-30 00:00:00,Delhi Capitals,646.0,PP Shaw,2,2019,field,Delhi Capitals,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals
Hyderabad,2019-03-31 00:00:00,Sunrisers Hyderabad,647.0,JM Bairstow,1,2019,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
Chennai,2019-03-31 00:00:00,Chennai Super Kings,648.0,MS Dhoni,1,2019,field,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Chandigarh,2019-04-01 00:00:00,Kings XI Punjab,649.0,SM Curran,1,2019,field,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Capitals,Kings XI Punjab
